"Reported Trait","Mapped Trait",Tissues,"Gene Symbol","Ensembl ID","Gene Type",Method/Software,"Effect Size",P-value,Publication
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Lymphocyte Cell",CERS2,ENSG00000143418.19,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.89E+00,1.00E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Sun Exposed",UBLCP1,ENSG00000164332.7,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.89E+00,1.00E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",SLC22A4,ENSG00000197208.5,protein-coding,"Transcriptome-Wide Summary Statistics-based Mendelian Randomization(TWMR)",'-6.40E-02,1.00E-06,TWASP000090
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Epithelial Tissue",PDCD5,ENSG00000105185.11,protein-coding,S-PrediXcan,'-2.77E+00,1.00E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,NPIPB9,ENSG00000196993.8,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.73E+00,1.00E-08,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Tibia",SBK1,ENSG00000188322.4,protein-coding,Summary-PrediXcan(S-PrediXcan),'-6.11E+00,1.00E-09,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Tibia",SBK1,ENSG00000188322.4,protein-coding,Summary-PrediXcan(S-PrediXcan),'-6.11E+00,1.00E-09,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Transverse Colon",P4HA2,ENSG00000072682.18,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",7.44E+00,1.00E-13,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Fibroblasts,MST1R,ENSG00000164078.12,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-7.44E+00,1.00E-13,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Pancreas,HLA-DQA2,ENSG00000237541.3,protein-coding,Summary-PrediXcan(S-PrediXcan),'-1.03E+01,1.00E-24,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Pancreas,HLA-DQA2,ENSG00000237541.3,protein-coding,Summary-PrediXcan(S-PrediXcan),'-1.03E+01,1.00E-24,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Breast Mammary Tissue",HLA-DQA2,ENSG00000237541.3,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-1.25E+01,1.00E-35,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,CERS2,ENSG00000143418.19,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.89E+00,1.01E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Lymphocyte Cell",TRIP6,ENSG00000087077.13,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.89E+00,1.01E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Not Sun Exposed",TCF19,ENSG00000137310.11,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.89E+00,1.01E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Fibroblasts,AC026904.1,ENSG00000233858.4,lincRNA,"Summary-Based PrediXcan(S-PrediXcan)",4.89E+00,1.01E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Breast Mammary Tissue",BRD7,ENSG00000166164.15,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.89E+00,1.01E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Muscularis",IP6K2,ENSG00000068745.14,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.32E+00,1.01E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Lymphocyte Cell",PRKCB,ENSG00000166501.12,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",5.32E+00,1.01E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Colon Transverse",TUFM,ENSG00000178952.10,protein-coding,FUSION,'-5.33E+00,1.01E-07,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Nucleus Accumbens",ERAP2,ENSG00000164308.16,protein-coding,Summary-PrediXcan(S-PrediXcan),5.32E+00,1.01E-07,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Nucleus Accumbens",ERAP2,ENSG00000164308.16,protein-coding,Summary-PrediXcan(S-PrediXcan),5.32E+00,1.01E-07,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Spleen,RBM6,ENSG00000004534.14,protein-coding,FUSION,'-5.73E+00,1.01E-08,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Putamen Basal Ganglia",ARFRP1,ENSG00000101246.19,protein-coding,Summary-PrediXcan(S-PrediXcan),5.73E+00,1.01E-08,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Nerve Tibial",EDF1,ENSG00000107223.12,protein-coding,Summary-PrediXcan(S-PrediXcan),5.73E+00,1.01E-08,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Nerve Tibial",EDF1,ENSG00000107223.12,protein-coding,Summary-PrediXcan(S-PrediXcan),5.73E+00,1.01E-08,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Putamen Basal Ganglia",ARFRP1,ENSG00000101246.19,protein-coding,Summary-PrediXcan(S-PrediXcan),5.73E+00,1.01E-08,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Spleen,SEMA3F,ENSG00000001617.11,protein-coding,Summary-PrediXcan(S-PrediXcan),6.11E+00,1.01E-09,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Not Sun Exposed",ORMDL3,ENSG00000172057.9,protein-coding,Summary-PrediXcan(S-PrediXcan),'-6.11E+00,1.01E-09,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Lymphocyte Cell",TUFM,ENSG00000178952.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.11E+00,1.01E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Not Sun Exposed",ORMDL3,ENSG00000172057.9,protein-coding,Summary-PrediXcan(S-PrediXcan),'-6.11E+00,1.01E-09,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Spleen,SEMA3F,ENSG00000001617.11,protein-coding,Summary-PrediXcan(S-PrediXcan),6.11E+00,1.01E-09,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Muscularis",GMEB2,ENSG00000101216.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-6.46E+00,1.01E-10,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Aortic Artery",BRD7,ENSG00000166164.15,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.47E+00,1.01E-10,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Fibroblasts,P4HA2,ENSG00000072682.18,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.47E+00,1.01E-10,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","EBV-Transformed Lymphocyte",COX15,ENSG00000014919.12,protein-coding,Summary-PrediXcan(S-PrediXcan),7.13E+00,1.01E-12,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Lymphocyte Cell",SGF29,ENSG00000176476.8,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-7.13E+00,1.01E-12,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cerebellum",INPP5E,ENSG00000148384.12,protein-coding,Summary-PrediXcan(S-PrediXcan),'-7.13E+00,1.01E-12,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cerebellum",INPP5E,ENSG00000148384.12,protein-coding,Summary-PrediXcan(S-PrediXcan),'-7.13E+00,1.01E-12,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","EBV-Transformed Lymphocyte",COX15,ENSG00000014919.12,protein-coding,Summary-PrediXcan(S-PrediXcan),7.13E+00,1.01E-12,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Muscle Skeletal",MST1R,ENSG00000164078.12,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-7.44E+00,1.01E-13,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Thyroid,APOBR,ENSG00000184730.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",7.74E+00,1.01E-14,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Gastroesophageal",SLC26A6,ENSG00000225697.12,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",9.33E+00,1.01E-20,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Nucleus Accumbens",AIF1,ENSG00000204472.12,protein-coding,Summary-PrediXcan(S-PrediXcan),'-9.58E+00,1.01E-21,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Nucleus Accumbens",AIF1,ENSG00000204472.12,protein-coding,Summary-PrediXcan(S-PrediXcan),'-9.58E+00,1.01E-21,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",GSDMB,ENSG00000073605.18,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-9.81E+00,1.01E-22,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Not Sun Exposed",AAMP,ENSG00000127837.9,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.41E+00,1.02E-05,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Nerve Tibial",RP5-902P8.12,ENSG00000260179.1,lincRNA,"Summary-Based PrediXcan(S-PrediXcan)",4.89E+00,1.02E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Stomach,GTF2I,ENSG00000263001.5,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.89E+00,1.02E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,LIME1,ENSG00000203896.9,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.89E+00,1.02E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cerebellum",GTF2I,ENSG00000263001.5,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.89E+00,1.02E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Not Sun Exposed",RP11-378A13.1,ENSG00000261338.2,sense_overlapping,FUSION,4.89E+00,1.02E-06,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Muscle Skeletal",RP11-378A13.1,ENSG00000261338.2,sense_overlapping,FUSION,5.32E+00,1.02E-07,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Breast Mammary Tissue",MST1R,ENSG00000164078.12,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.32E+00,1.02E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Hippocampus",CAVIN1,ENSG00000177469,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.11E+00,1.02E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Testis,CAMKV,ENSG00000164076.16,protein-coding,Summary-PrediXcan(S-PrediXcan),'-6.46E+00,1.02E-10,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Testis,CAMKV,ENSG00000164076.16,protein-coding,Summary-PrediXcan(S-PrediXcan),'-6.46E+00,1.02E-10,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Putamen Basal Ganglia",RBM6,ENSG00000004534.14,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.80E+00,1.02E-11,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Small Intestine",TUFM,ENSG00000178952.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.80E+00,1.02E-11,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Uterus,TUFM,ENSG00000178952.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",7.74E+00,1.02E-14,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Nerve Tibial",UBE2L3,ENSG00000185651.14,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",8.02E+00,1.02E-15,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Mucosa",ORMDL3,ENSG00000172057.9,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-8.30E+00,1.02E-16,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Breast Mammary Tissue",TMEM89,ENSG00000183396.3,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",9.57E+00,1.02E-21,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Transverse Colon",HLA-DRB1,ENSG00000196126.11,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",9.81E+00,1.02E-22,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Hippocampus",HLA-DQB2,ENSG00000232629.8,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-1.00E+01,1.02E-23,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Vagina,FAF2,ENSG00000113194.12,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.41E+00,1.03E-05,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Prostate,HLA-DMA,ENSG00000204257.14,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.41E+00,1.03E-05,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Cells Transformed Fibroblast",RBM6,ENSG00000004534.14,protein-coding,Summary-PrediXcan(S-PrediXcan),5.32E+00,1.03E-07,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",CERS2,ENSG00000143418.19,protein-coding,"Transcriptome-Wide Summary Statistics-based Mendelian Randomization(TWMR)",'-9.92E-02,1.03E-07,TWASP000090
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,HORMAD1,ENSG00000143452.15,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.32E+00,1.03E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Cells Transformed Fibroblast",RBM6,ENSG00000004534.14,protein-coding,Summary-PrediXcan(S-PrediXcan),5.32E+00,1.03E-07,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,CCDC116,ENSG00000161180.10,protein-coding,FUSION,5.73E+00,1.03E-08,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",IL1RL1,ENSG00000115602.16,protein-coding,Summary-PrediXcan(S-PrediXcan),'-6.10E+00,1.03E-09,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Mucosa",AHSA2P,ENSG00000173209,pseudogene,"Summary-Based PrediXcan(S-PrediXcan)",'-6.10E+00,1.03E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Muscle Skeletal",SGF29,ENSG00000176476.8,protein-coding,Summary-PrediXcan(S-PrediXcan),'-6.11E+00,1.03E-09,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Frontal Cortex",ERAP2,ENSG00000164308.16,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.11E+00,1.03E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Lung,HLA-DRB5,ENSG00000198502.5,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.10E+00,1.03E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Muscle Skeletal",SGF29,ENSG00000176476.8,protein-coding,Summary-PrediXcan(S-PrediXcan),'-6.11E+00,1.03E-09,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",HLA-DRA,ENSG00000204287.13,protein-coding,Summary-PrediXcan(S-PrediXcan),6.10E+00,1.03E-09,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Spinal Cord",NOTCH4,ENSG00000204301.6,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.11E+00,1.03E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",HLA-DRA,ENSG00000204287.13,protein-coding,Summary-PrediXcan(S-PrediXcan),6.10E+00,1.03E-09,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Hippocampus",SULT1A2,ENSG00000197165.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.46E+00,1.03E-10,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Anterior Cingulate Cortex",SULT1A2,ENSG00000197165.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.46E+00,1.03E-10,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Gastroesophageal",FNIP1,ENSG00000217128.11,protein-coding,Summary-PrediXcan(S-PrediXcan),'-6.80E+00,1.03E-11,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Small Intestine-Terminal Ileum",GSDMB,ENSG00000073605.18,protein-coding,Summary-PrediXcan(S-PrediXcan),'-6.80E+00,1.03E-11,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Gastroesophageal",FNIP1,ENSG00000217128.11,protein-coding,Summary-PrediXcan(S-PrediXcan),'-6.80E+00,1.03E-11,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Small Intestine-Terminal Ileum",GSDMB,ENSG00000073605.18,protein-coding,Summary-PrediXcan(S-PrediXcan),'-6.80E+00,1.03E-11,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Lung,MLX,ENSG00000108788.11,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-6.80E+00,1.03E-11,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cerebellar Hemisphere",SLC2A4RG,ENSG00000125520.13,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",7.44E+00,1.03E-13,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Gastroesophageal",HLA-DQB2,ENSG00000232629.8,protein-coding,Summary-PrediXcan(S-PrediXcan),'-8.02E+00,1.03E-15,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Gastroesophageal",HLA-DQB2,ENSG00000232629.8,protein-coding,Summary-PrediXcan(S-PrediXcan),'-8.02E+00,1.03E-15,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Coronary",ITPKC,ENSG00000086544.2,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",4.41E+00,1.04E-05,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Prostate,TAP2,ENSG00000204267.13,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",4.41E+00,1.04E-05,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Hippocampus",RMI2,ENSG00000175643.8,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.88E+00,1.04E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Not Sun Exposed",HLA-DPB1,ENSG00000223865.10,protein-coding,Summary-PrediXcan(S-PrediXcan),5.32E+00,1.04E-07,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Coronary",RBM6,ENSG00000004534.14,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",5.32E+00,1.04E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Heart Left Ventricle",PARK7,ENSG00000116288.12,protein-coding,Summary-PrediXcan(S-PrediXcan),'-5.32E+00,1.04E-07,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Heart Left Ventricle",PARK7,ENSG00000116288.12,protein-coding,Summary-PrediXcan(S-PrediXcan),'-5.32E+00,1.04E-07,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,GABBR1,ENSG00000204681.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",5.32E+00,1.04E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Not Sun Exposed",HLA-DPB1,ENSG00000223865.10,protein-coding,Summary-PrediXcan(S-PrediXcan),5.32E+00,1.04E-07,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Tibia",NFATC2IP,ENSG00000176953.12,protein-coding,Summary-PrediXcan(S-PrediXcan),5.72E+00,1.04E-08,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Tibia",NFATC2IP,ENSG00000176953.12,protein-coding,Summary-PrediXcan(S-PrediXcan),5.72E+00,1.04E-08,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Aortic Artery",LSM2,ENSG00000204392.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.10E+00,1.04E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Heart Atrial Appendage",ERAP2,ENSG00000164308.16,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.46E+00,1.04E-10,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cortex",C4A,ENSG00000244731.7,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.46E+00,1.04E-10,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Tibia",NPIPB9,ENSG00000196993.8,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-7.13E+00,1.04E-12,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cortex",COL7A1,ENSG00000114270.17,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",8.02E+00,1.04E-15,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cerebellum",MPIG6B,ENSG00000204420.8,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",9.08E+00,1.04E-19,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Lymphocyte Cell",TMED5,ENSG00000117500.12,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",4.41E+00,1.05E-05,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Nerve Tibial",CERS2,ENSG00000143418.19,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.88E+00,1.05E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",SANBR,ENSG00000162929,protein-coding,"Transcriptome-Wide Summary Statistics-based Mendelian Randomization(TWMR)",4.51E-02,1.05E-06,TWASP000090
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Hypothalamus",DXO,ENSG00000204348.9,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",4.88E+00,1.05E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Sun Exposed",RNASET2,ENSG00000026297.15,protein-coding,FUSION,4.88E+00,1.05E-06,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Spleen,RP11-378A13.1,ENSG00000261338.2,sense_overlapping,FUSION,4.88E+00,1.05E-06,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Blood,ZFP90,ENSG00000184939.15,protein-coding,FUSION,'-4.88E+00,1.05E-06,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Sun Exposed",NCF1,ENSG00000158517.13,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.88E+00,1.05E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Sun Exposed",SATB2,ENSG00000119042.16,protein-coding,FUSION,'-4.88E+00,1.05E-06,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Spleen,CTSK,ENSG00000143387.12,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.32E+00,1.05E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Lymphocyte Cell",SLC22A5,ENSG00000197375.12,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.32E+00,1.05E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Aortic Artery",C4A,ENSG00000244731.7,protein-coding,Summary-PrediXcan(S-PrediXcan),5.32E+00,1.05E-07,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Aortic Artery",C4A,ENSG00000244731.7,protein-coding,Summary-PrediXcan(S-PrediXcan),5.32E+00,1.05E-07,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Not Sun Exposed",QRICH1,ENSG00000198218.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.32E+00,1.05E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Stomach,EIF3CL,ENSG00000205609.12,protein-coding,Summary-PrediXcan(S-PrediXcan),5.72E+00,1.05E-08,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,THBS3,ENSG00000169231.13,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",5.72E+00,1.05E-08,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Lymphocyte Cell",UBE2L3,ENSG00000185651.14,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",5.72E+00,1.05E-08,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,SH2B1,ENSG00000178188.14,protein-coding,FUSION,5.72E+00,1.05E-08,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Stomach,EIF3CL,ENSG00000205609.12,protein-coding,Summary-PrediXcan(S-PrediXcan),5.72E+00,1.05E-08,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Amygdala,IL1RL1,ENSG00000115602.16,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.80E+00,1.05E-11,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Putamen Basal Ganglia",EHMT2,ENSG00000204371.11,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-6.80E+00,1.05E-11,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Liver,IL27,ENSG00000197272.2,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.80E+00,1.05E-11,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,C4A,ENSG00000244731.7,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",7.12E+00,1.05E-12,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",HLA-DQA1,ENSG00000196735.11,protein-coding,Summary-PrediXcan(S-PrediXcan),7.43E+00,1.05E-13,TWASP000054
