"Reported Trait","Mapped Trait",Tissues,"Gene Symbol","Ensembl ID","Gene Type",Method/Software,"Effect Size",P-value,Publication
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",INKA1,ENSG00000185614,protein-coding,"Summary data-based Mendelian Randomization(SMR)",'-,3.12E-07,TWASP000113
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",SLC22A4,ENSG00000197208.5,protein-coding,"Summary data-based Mendelian Randomization(SMR)",'-,3.12E-15,TWASP000113
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",IRF1,ENSG00000125347.13,protein-coding,"Summary data-based Mendelian Randomization(SMR)",'-,3.14E-06,TWASP000113
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,CAMSAP2,ENSG00000118200.14,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.15E-06,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cortex",SYNGR1,ENSG00000100321.14,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.15E-06,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Gastroesophageal",THRA,ENSG00000126351.12,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.16E-06,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Colon Sigmoid",AOC3,ENSG00000131471.6,protein-coding,Summary-MultiXcan(S-MultiXcan),'-,3.16E-07,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,FDX2,ENSG00000267673.6,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.16E-09,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Coronary",NCR3LG1,ENSG00000188211.8,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.18E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Fibroblasts,RP11-770E5.1,ENSG00000253608.1,antisense,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.18E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Heart Atrial Appendage",CDC37,ENSG00000105401.8,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.19E-07,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Spleen,AMT,ENSG00000145020.15,protein-coding,Summary-MultiXcan(S-MultiXcan),'-,3.20E-07,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Spleen,TCF3P1,ENSG00000236567.2,processed_pseudogene,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.20E-12,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cortex",KIAA1109,ENSG00000138688.15,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.21E-06,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cortex",ZGPAT,ENSG00000197114.11,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.22E-15,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Gastroesophageal",RP11-212D19.5,ENSG00000256533.1,processed_pseudogene,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.23E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Pancreas,AQP12A,ENSG00000184945.13,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.25E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Nucleus Accumbens",C2,ENSG00000166278.14,protein-coding,Summary-MultiXcan(S-MultiXcan),'-,3.27E-22,TWASP000056
